Property,Owner,Year,Reason
Coral Village Apartments,"CORAL VILLAGE HOUSING, LP",2020,Acquired during 2021; no 2020 return expected
Crossroads of Lee's Summit,"Granite Crossroads of Lee's Summit, LLC and SPE Riverchase Housing, LLC as TIC",2020,Acquired after 2021; no 2020 return expected
Granite Bayou Pointe Apartments,"GRANITE BAYOU POINTE, LLC",2020,Acquired after 2021; no 2020 return expected
Granite Howell Place,"GRANITE HOWELL PLACE, LLC",2020,Acquired after 2021; no 2020 return expected
Granite La Promesa,"Granite La Promesa, LLC",2020,Acquired after 2021; no 2020 return expected
Granite Pelican Bay,"GRANITE PELICAN BAY, LLC",2020,Acquired after 2021; no 2020 return expected
Granite Pirates Bend,"GRANITE PIRATES BEND, LLC",2020,Acquired after 2021; no 2020 return expected
North Pointe Apartments,"NORTH POINTE HOUSING, LP",2020,Acquired after 2021; no 2020 return expected
River Garden Estates,"River Gardens Estates Housing, LP",2020,Acquired after 2021; no 2020 return expected
Walnut Hill,"Granite Walnut Hill, LLC",2020,Acquired after 2021; no 2020 return expected
Crossroads of Lee's Summit,"Granite Crossroads of Lee's Summit, LLC and SPE Riverchase Housing, LLC as TIC",2021,Acquired after 2021; no 2021 return expected
Granite Bayou Pointe Apartments,"GRANITE BAYOU POINTE, LLC",2021,Acquired after 2021; no 2021 return expected
Granite Howell Place,"GRANITE HOWELL PLACE, LLC",2021,Acquired after 2021; no 2021 return expected
Granite La Promesa,"Granite La Promesa, LLC",2021,Acquired after 2021; no 2021 return expected
Granite Pelican Bay,"GRANITE PELICAN BAY, LLC",2021,Acquired after 2021; no 2021 return expected
Granite Pirates Bend,"GRANITE PIRATES BEND, LLC",2021,Acquired after 2021; no 2021 return expected
North Pointe Apartments,"NORTH POINTE HOUSING, LP",2021,Acquired after 2021; no 2021 return expected
River Garden Estates,"River Gardens Estates Housing, LP",2021,Acquired after 2021; no 2021 return expected
Walnut Hill,"Granite Walnut Hill, LLC",2021,Acquired after 2021; no 2021 return expected
