Year,Controlling Property or Properties,Controlling Property Owner,Source Availability / Discovery,Production Status,Required Next Action
2020,Anaheim Gardens Apartments,"ANAHEIM GARDENS HOUSING, LP",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2020,Arbor Crest,"ARBOR CREST HOUSING, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2020,Boca Ciega,"BOCA CIEGA PARTNERS TC, LP",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2020,Breckenridge Village,"Breckenridge Housing, LLC",no_federal_k1_detected,Source present — production not complete,Perform a full manual federal K-1 packet and identifier review from the untouched original before proposing redactions
2020,Cumberland Apartments,"Cumberland Apartments, LP",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2020,Fairfax Senior Terrace Apartments,"Fairfax Genesee Partners and Associates, L.P.",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
2020,The Gates on Manhattan,"GATES ON MANHATTAN, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2020,Granite Ridge Apartments,"GRANITE RIDGE HOUSING, LP",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2020,Grace Townhomes,"Grace Townhomes Housing, LLC",ready,Completed — verified redacted output filed,None; retain original and verified _REDACTED.pdf
2020,Grove Park Terrace,"Grove Park Housing, LP",no_federal_k1_detected,Source present — production not complete,Perform a full manual federal K-1 packet and identifier review from the untouched original before proposing redactions
2020,Holiday Apartments,"Holiday Apartments Housing, LP",No complete original in parent court-case folders,Missing complete original return,Obtain the complete 2020/2021 federal return PDF with embedded federal K-1 packets; do not substitute individual K-1s
