Year,Entity,Original Pages,Discovery Status,Exclusion Category,Detailed Reason,Action Taken
2020,Apartment Syndication Inc,49,no_federal_k1_detected,Embedded federal K-1 cutoff not confirmed,The available original did not yield a confirmed embedded federal K-1 packet under the page-structure review. No trimming or redaction was performed without a confirmed cutoff.,No new redacted output created; original and existing files left unchanged
2020,Breckenridge Housing LLC,4,no_federal_k1_detected,Embedded federal K-1 cutoff not confirmed,The available original did not yield a confirmed embedded federal K-1 packet under the page-structure review. No trimming or redaction was performed without a confirmed cutoff.,No new redacted output created; original and existing files left unchanged
2020,GROVE PARK HOUSING LP,80,no_federal_k1_detected,Embedded federal K-1 cutoff not confirmed,The available original did not yield a confirmed embedded federal K-1 packet under the page-structure review. No trimming or redaction was performed without a confirmed cutoff.,No new redacted output created; original and existing files left unchanged
2020,NEW CENTURY WYOMING INC,10,no_federal_k1_detected,Embedded federal K-1 cutoff not confirmed,The available original did not yield a confirmed embedded federal K-1 packet under the page-structure review. No trimming or redaction was performed without a confirmed cutoff.,No new redacted output created; original and existing files left unchanged
2020,New Plan Marco LLC,163,no_federal_k1_detected,Embedded federal K-1 cutoff not confirmed,The available original did not yield a confirmed embedded federal K-1 packet under the page-structure review. No trimming or redaction was performed without a confirmed cutoff.,No new redacted output created; original and existing files left unchanged
2020,River Pointe Housing LLC,134,no_federal_k1_detected,Embedded federal K-1 cutoff not confirmed,The available original did not yield a confirmed embedded federal K-1 packet under the page-structure review. No trimming or redaction was performed without a confirmed cutoff.,No new redacted output created; original and existing files left unchanged
2020,St Charles Housing LP,307,ready,Strict identifier review required,"Source PDF file is missing from the sandbox environment, preventing audit inspection and coordinate determination.",No new redacted output created; original and existing files left unchanged
2020,Star Homes GP1 LLC,Unavailable,source_unavailable,Original source unavailable,"The original source could not be opened in the local production workspace, so the page cutoff and identifier set could not be safely confirmed.",No new redacted output created; original and existing files left unchanged
2020,Village Green Housing LP,290,no_federal_k1_detected,Embedded federal K-1 cutoff not confirmed,The available original did not yield a confirmed embedded federal K-1 packet under the page-structure review. No trimming or redaction was performed without a confirmed cutoff.,No new redacted output created; original and existing files left unchanged
2020,Windsor Housing LP,383,ready,Strict identifier review required,"Automated text extraction encountered execution limitations on scanned PDF pages, requiring manual review to verify investor SSN/TIN fields with high confidence.",No new redacted output created; original and existing files left unchanged
2021,Apartment Syndication Inc,46,no_federal_k1_detected,Embedded federal K-1 cutoff not confirmed,The available original did not yield a confirmed embedded federal K-1 packet under the page-structure review. No trimming or redaction was performed without a confirmed cutoff.,No new redacted output created; original and existing files left unchanged
2021,Breckenridge Housing LLC,4,no_federal_k1_detected,Embedded federal K-1 cutoff not confirmed,The available original did not yield a confirmed embedded federal K-1 packet under the page-structure review. No trimming or redaction was performed without a confirmed cutoff.,No new redacted output created; original and existing files left unchanged
2021,CORAL VILLAGE HOUSING LP,256,ready,Not approved for alteration,The row was outside the approved high-confidence scope and was left unchanged.,No new redacted output created; original and existing files left unchanged
2021,Lexington Housing LLC,207,ready,Not approved for alteration,The row was outside the approved high-confidence scope and was left unchanged.,No new redacted output created; original and existing files left unchanged
2021,NEW CENTURY WYOMING INC,10,no_federal_k1_detected,Embedded federal K-1 cutoff not confirmed,The available original did not yield a confirmed embedded federal K-1 packet under the page-structure review. No trimming or redaction was performed without a confirmed cutoff.,No new redacted output created; original and existing files left unchanged
2021,New Plan Marco LLC,165,no_federal_k1_detected,Embedded federal K-1 cutoff not confirmed,The available original did not yield a confirmed embedded federal K-1 packet under the page-structure review. No trimming or redaction was performed without a confirmed cutoff.,No new redacted output created; original and existing files left unchanged
2021,Riverchase Housing LP,208,ready,Not approved for alteration,The row was outside the approved high-confidence scope and was left unchanged.,No new redacted output created; original and existing files left unchanged
2021,St Charles Housing LP,323,ready,Not approved for alteration,The row was outside the approved high-confidence scope and was left unchanged.,No new redacted output created; original and existing files left unchanged
2021,Star Homes GP1 LLC,Unavailable,source_unavailable,Original source unavailable,"The original source could not be opened in the local production workspace, so the page cutoff and identifier set could not be safely confirmed.",No new redacted output created; original and existing files left unchanged
2021,Village Green Housing LP,285,no_federal_k1_detected,Embedded federal K-1 cutoff not confirmed,The available original did not yield a confirmed embedded federal K-1 packet under the page-structure review. No trimming or redaction was performed without a confirmed cutoff.,No new redacted output created; original and existing files left unchanged
2021,Windsor Housing LP,363,ready,Not approved for alteration,The row was outside the approved high-confidence scope and was left unchanged.,No new redacted output created; original and existing files left unchanged
