Year,Entity,Retain Through Page,First Excluded Page,Pages Removed,High-Confidence Identifier Fields,Proposed Identifier Locations,Proposal Status,Review Notes
2020,Arbor Crest Housing,87,88,147,13,page 37 — Part II Item E partner SSN or TIN; page 41 — Part II Item E partner SSN or TIN; page 45 — Part II Item E partner SSN or TIN; page 49 — Part II Item E partner SSN or TIN; page 53 — Part II Item E partner SSN or TIN; page 57 — Part II Item E partner SSN or TIN; page 61 — Part II Item E partner SSN or TIN; page 65 — Part II Item E partner SSN or TIN; page 69 — Part II Item E partner SSN or TIN; page 73 — Part II Item E partner SSN or TIN; page 77 — Part II Item E partner SSN or TIN; page 81 — Part II Item E partner SSN or TIN; page 85 — Part II Item E partner SSN or TIN,High-confidence proposal — approval required,none
2020,Gates on Manhattan LP,104,105,230,13,page 42 — Partner's identifying number (SSN/TIN); page 46 — Partner's identifying number (SSN/TIN); page 50 — Partner's identifying number (SSN/TIN); page 54 — Partner's identifying number (SSN/TIN); page 58 — Partner's identifying number (SSN/TIN); page 62 — Partner's identifying number (SSN/TIN); page 66 — Partner's identifying number (SSN/TIN); page 70 — Partner's identifying number (SSN/TIN); page 74 — Partner's identifying number (SSN/TIN); page 78 — Partner's identifying number (SSN/TIN); page 86 — Partner's identifying number (SSN/TIN); page 90 — Partner's identifying number (SSN/TIN); page 102 — Partner's identifying number (SSN/TIN),High-confidence proposal — approval required,none
2020,Grace Townhomes Housing LP,40,41,159,2,page 38 — Part II Item E investor tax ID; page 40 — Part II Item E investor SSN/TIN,High-confidence proposal — approval required,none
2020,Granite Ridge Housing LP,44,45,220,2,page 42 — Partner's SSN or TIN in Part II Item E; page 44 — Partner's SSN or TIN in header,High-confidence proposal — approval required,none
2020,Lexington Housing LLC,74,75,132,11,page 32 — Part II Item E Partner's identifying number; page 36 — Part II Item E Partner's identifying number; page 40 — Part II Item E Partner's identifying number; page 44 — Part II Item E Partner's identifying number; page 48 — Part II Item E Partner's identifying number; page 52 — Part II Item E Partner's identifying number; page 56 — Part II Item E Partner's identifying number; page 60 — Part II Item E Partner's identifying number; page 64 — Part II Item E Partner's identifying number; page 68 — Part II Item E Partner's identifying number; page 72 — Part II Item E Partner's identifying number,High-confidence proposal — approval required,none
2020,Marrero 3 LP,79,80,194,8,page 37 — Part II Item E partner SSN; page 41 — Part II Item E partner SSN; page 45 — Part II Item E partner SSN; page 49 — Part II Item E partner SSN; page 53 — Part II Item E partner SSN; page 61 — Part II Item E partner SSN; page 65 — Part II Item E partner SSN; page 73 — Part II Item E partner SSN,High-confidence proposal — approval required,none
2020,Oak Hills Housing LP,99,100,101,8,page 53 — Schedule K-1 Part II Item E Partner SSN; page 61 — Schedule K-1 Part II Item E Partner SSN; page 65 — Schedule K-1 Part II Item E Partner SSN; page 69 — Schedule K-1 Part II Item E Partner SSN; page 81 — Schedule K-1 Part II Item E Partner SSN; page 85 — Schedule K-1 Part II Item E Partner SSN; page 89 — Schedule K-1 Part II Item E Partner SSN; page 97 — Schedule K-1 Part II Item E Partner SSN,High-confidence proposal — approval required,none
2020,Pacific Pointe Housing LP,29,30,219,2,page 27 — Part II Box E Partner SSN or TIN; page 29 — top right header Partner TIN,High-confidence proposal — approval required,none
2020,Riverchase Housing LP,70,71,139,7,page 36 — Partner's SSN or TIN; page 40 — Partner's SSN or TIN; page 44 — Partner's SSN or TIN; page 48 — Partner's SSN or TIN; page 52 — Partner's SSN or TIN; page 56 — Partner's SSN or TIN; page 68 — Partner's SSN or TIN,High-confidence proposal — approval required,none
2020,Ruby Diamond Housing LP,42,43,91,3,page 32 — Part II Item E Partner's SSN or TIN; page 36 — Part II Item E Partner's SSN or TIN; page 40 — Part II Item E Partner's SSN or TIN,High-confidence proposal — approval required,none
